Incentive_Key,State,Incentive_Type,Creation_Date,Start Year,End Year
3933,Connecticut,Utility Rebate Program,26-Jan-10,2010,
3886,California,Performance-Based Incentive,07-Jan-10,2010,
3540,Ohio,Utility Rebate Program,15-Jul-09,2009,
1333,Oklahoma,State Loan Program,12-Apr-06,2006,
3537,Ohio,Utility Rebate Program,15-Jul-09,2009,
246,Oregon,Public Benefits Fund,01-Jan-00,2000,
236,Oregon,State Loan Program,01-Jan-00,2000,
3969,New Hampshire,State Loan Program,12-Feb-10,2010,
3970,New Hampshire,State Loan Program,12-Feb-10,2010,
1326,New Jersey,State Rebate Program,11-Apr-06,2006,2007
1683,Arizona,Property Tax Incentive,26-Jun-06,2006,
2624,Connecticut,Property Tax Incentive,02-Jul-07,2007,2007
606,Hawaii,Renewables Portfolio Standard,12-Jul-01,2001,
3461,New Jersey,State Loan Program,18-Jun-09,2009,
2816,Vermont,State Loan Program,30-Nov-07,2007,
1870,Vermont,Public Benefits Fund,27-Jul-06,2006,
2350,Washington,Renewables Portfolio Standard,15-Nov-06,2006,
78,Ohio,Other Incentive,01-Jan-00,2000,
3359,California,Utility Loan Program,27-Apr-09,2009,
2257,Massachusetts,Public Benefits Fund,21-Sep-06,2006,
1251,New York,Industry Recruitment/Support,22-Nov-05,2005,2007
1307,South Carolina,State Loan Program,27-Mar-06,2006,
1279,Ohio,State Grant Program,25-Jan-06,2006,
3648,Pennsylvania,State Grant Program,02-Sep-09,2009,
1320,Connecticut,Utility Rebate Program,11-Apr-06,2006,
3007,New York,State Rebate Program,16-Jul-08,2008,
1693,Connecticut,State Loan Program,27-Jun-06,2006,
1691,Connecticut,State Grant Program,27-Jun-06,2006,2009
2380,West Virginia,Net Metering,09-Feb-07,2007,
1704,Delaware,Energy Standards for Public Buildings,30-Jun-06,2006,
665,New York,State Rebate Program,22-Jan-02,2002,
3565,New York,State Grant Program,31-Jul-09,2009,2010
743,Utah,Net Metering,25-Mar-02,2002,
3330,New Jersey,State Rebate Program,06-Apr-09,2009,
2660,North Carolina,Renewables Portfolio Standard,06-Aug-07,2007,
207,Idaho,State Loan Program,01-Jan-00,2000,
4246,West Virginia,Interconnection,09-Jul-10,2010,
3651,Pennsylvania,Industry Recruitment/Support,03-Sep-09,2009,
4252,New Hampshire,PACE Financing,15-Jul-10,2010,
195,Connecticut,Renewables Portfolio Standard,01-Jan-00,2000,
364,New Mexico,State Bond Program,29-Apr-05,2005,
2934,Ohio,Renewables Portfolio Standard,01-May-08,2008,
3979,Kentucky,State Loan Program,16-Feb-10,2010,
4066,Arizona,Utility Rebate Program,06-Apr-10,2010,
3650,Pennsylvania,State Loan Program,03-Sep-09,2009,
3653,West Virginia,Renewables Portfolio Standard,01-Jul-09,2009,
3930,Connecticut,Utility Rebate Program,25-Jan-10,2010,
3726,Virginia,State Rebate Program,09-Oct-09,2009,2010
3798,Vermont,State Loan Program,07-Oct-09,2009,
3934,Connecticut,Utility Rebate Program,26-Jan-10,2010,
